number,name,height,weight,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed,generation,image_url
1,bulbasaur,0.7,6.9,grass,poison,45,49,49,65,65,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,ivysaur,1.0,13.0,grass,poison,60,62,63,80,80,60,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,venusaur,2.0,100.0,grass,poison,80,82,83,100,100,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,charmander,0.6,8.5,fire,none,39,52,43,60,50,65,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,charmeleon,1.1,19.0,fire,none,58,64,58,80,65,80,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,charizard,1.7,90.5,fire,flying,78,84,78,109,85,100,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,squirtle,0.5,9.0,water,none,44,48,65,50,64,43,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,wartortle,1.0,22.5,water,none,59,63,80,65,80,58,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,blastoise,1.6,85.5,water,none,79,83,100,85,105,78,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,caterpie,0.3,2.9,bug,none,45,30,35,20,20,45,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,metapod,0.7,9.9,bug,none,50,20,55,25,25,30,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,butterfree,1.1,32.0,bug,flying,60,45,50,90,80,70,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,weedle,0.3,3.2,bug,poison,40,35,30,20,20,50,generation-i,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
